"area_name","area_name_ohi","rgn_type","type_w_ant","rgn_id","rgn_ant_id"
"Atlantic, Northeast","Atlantic, Northeast","fao","fao",262,262
"Atlantic, Eastern Central","Atlantic, Eastern Central","fao","fao",264,264
"Atlantic, Northwest","Atlantic, Northwest","fao","fao",261,261
"Atlantic, Southeast","Atlantic, Southeast","fao","fao",267,267
"Atlantic, Antarctic","Antarctica","eez","eez-ccamlr",213,248100
"Atlantic, Antarctic","Antarctica","eez","eez-ccamlr",213,248200
"Atlantic, Antarctic","Antarctica","eez","eez-ccamlr",213,248300
"Atlantic, Antarctic","Antarctica","eez","eez-ccamlr",213,248400
"Atlantic, Antarctic","Antarctica","eez","eez-ccamlr",213,248500
"Atlantic, Antarctic","Antarctica","eez","eez-ccamlr",213,248600
"Atlantic, Antarctic","Antarctica","eez","eez-ccamlr",213,258410
"Atlantic, Antarctic","Antarctica","eez","eez-ccamlr",213,258420
"Atlantic, Antarctic","Antarctica","eez","eez-ccamlr",213,258431
"Atlantic, Antarctic","Antarctica","eez","eez-ccamlr",213,258432
"Atlantic, Antarctic","Antarctica","eez","eez-ccamlr",213,258441
"Atlantic, Antarctic","Antarctica","eez","eez-ccamlr",213,258442
"Atlantic, Antarctic","Antarctica","eez","eez-ccamlr",213,258510
"Atlantic, Antarctic","Antarctica","eez","eez-ccamlr",213,258520
"Atlantic, Antarctic","Antarctica","eez","eez-ccamlr",213,258600
"Atlantic, Antarctic","Antarctica","eez","eez-ccamlr",213,258700
"Atlantic, Antarctic","Antarctica","eez","eez-ccamlr",213,288100
"Atlantic, Antarctic","Antarctica","eez","eez-ccamlr",213,288200
"Atlantic, Antarctic","Antarctica","eez","eez-ccamlr",213,288300
"Atlantic, Western Central","Atlantic, Western-Central","fao","fao",263,263
"Pacific, Eastern Central","Pacific, Eastern Central","fao","fao",275,275
"Indian Ocean, Eastern","Indian Ocean, Eastern","fao","fao",270,270
"Indian Ocean, Antarctic","Antarctica","eez","eez-ccamlr",213,248100
"Indian Ocean, Antarctic","Antarctica","eez","eez-ccamlr",213,248200
"Indian Ocean, Antarctic","Antarctica","eez","eez-ccamlr",213,248300
"Indian Ocean, Antarctic","Antarctica","eez","eez-ccamlr",213,248400
"Indian Ocean, Antarctic","Antarctica","eez","eez-ccamlr",213,248500
"Indian Ocean, Antarctic","Antarctica","eez","eez-ccamlr",213,248600
"Indian Ocean, Antarctic","Antarctica","eez","eez-ccamlr",213,258410
"Indian Ocean, Antarctic","Antarctica","eez","eez-ccamlr",213,258420
"Indian Ocean, Antarctic","Antarctica","eez","eez-ccamlr",213,258431
"Indian Ocean, Antarctic","Antarctica","eez","eez-ccamlr",213,258432
"Indian Ocean, Antarctic","Antarctica","eez","eez-ccamlr",213,258441
"Indian Ocean, Antarctic","Antarctica","eez","eez-ccamlr",213,258442
"Indian Ocean, Antarctic","Antarctica","eez","eez-ccamlr",213,258510
"Indian Ocean, Antarctic","Antarctica","eez","eez-ccamlr",213,258520
"Indian Ocean, Antarctic","Antarctica","eez","eez-ccamlr",213,258600
"Indian Ocean, Antarctic","Antarctica","eez","eez-ccamlr",213,258700
"Indian Ocean, Antarctic","Antarctica","eez","eez-ccamlr",213,288100
"Indian Ocean, Antarctic","Antarctica","eez","eez-ccamlr",213,288200
"Indian Ocean, Antarctic","Antarctica","eez","eez-ccamlr",213,288300
"Indian Ocean, Western","Indian Ocean, Western","fao","fao",269,269
"Pacific, Antarctic","Antarctica","eez","eez-ccamlr",213,248100
"Pacific, Antarctic","Antarctica","eez","eez-ccamlr",213,248200
"Pacific, Antarctic","Antarctica","eez","eez-ccamlr",213,248300
"Pacific, Antarctic","Antarctica","eez","eez-ccamlr",213,248400
"Pacific, Antarctic","Antarctica","eez","eez-ccamlr",213,248500
"Pacific, Antarctic","Antarctica","eez","eez-ccamlr",213,248600
"Pacific, Antarctic","Antarctica","eez","eez-ccamlr",213,258410
"Pacific, Antarctic","Antarctica","eez","eez-ccamlr",213,258420
"Pacific, Antarctic","Antarctica","eez","eez-ccamlr",213,258431
"Pacific, Antarctic","Antarctica","eez","eez-ccamlr",213,258432
"Pacific, Antarctic","Antarctica","eez","eez-ccamlr",213,258441
"Pacific, Antarctic","Antarctica","eez","eez-ccamlr",213,258442
"Pacific, Antarctic","Antarctica","eez","eez-ccamlr",213,258510
"Pacific, Antarctic","Antarctica","eez","eez-ccamlr",213,258520
"Pacific, Antarctic","Antarctica","eez","eez-ccamlr",213,258600
"Pacific, Antarctic","Antarctica","eez","eez-ccamlr",213,258700
"Pacific, Antarctic","Antarctica","eez","eez-ccamlr",213,288100
"Pacific, Antarctic","Antarctica","eez","eez-ccamlr",213,288200
"Pacific, Antarctic","Antarctica","eez","eez-ccamlr",213,288300
"Pacific, Western Central","Pacific, Western Central","fao","fao",274,274
"Pacific, Northwest","Pacific, Northwest","fao","fao",272,272
"Pacific, Southeast","Pacific, Southeast","fao","fao",277,277
"Pacific, Southwest","Pacific, Southwest","fao","fao",276,276
"Pacific, Northeast","Pacific, Northeast","fao","fao",273,273
