"","rgn_id","rgn","score_new","score_old","rgn_name","diff","abs_diff"
"1",13,"status",0.341,0.42,"Northern Mariana Islands and Guam",-0.079,0.079
"2",15,"status",0.478,0.355,"Philippines",0.123,0.123
"3",24,"status",0.773,0.56,"Cambodia",0.213,0.213
"4",25,"status",0.901,0.484,"Thailand",0.417,0.417
"5",26,"status",0,0.16,"Andaman and Nicobar",-0.16,0.16
"6",29,"status",1,0.933,"Mayotte",0.0669999999999999,0.0669999999999999
"7",31,"status",1,0.767,"Seychelles",0.233,0.233
"8",41,"status",0.92,0.151,"Mozambique",0.769,0.769
"9",42,"status",0.426,0.332,"Madagascar",0.094,0.094
"10",54,"status",0.784,0.73,"United Arab Emirates",0.054,0.054
"11",62,"status",0.743,0.577,"Morocco",0.166,0.166
"12",63,"status",0.371,0.55,"Western Sahara",-0.179,0.179
"13",65,"status",0.701,0.36,"Gambia",0.341,0.341
"14",73,"status",0.744,0.077,"Russia",0.667,0.667
"15",75,"status",0.579,0.496,"Ukraine",0.083,0.083
"16",81,"status",0.537,0.404,"Cyprus",0.133,0.133
"17",84,"status",0.118,0.062,"Algeria",0.056,0.056
"18",105,"status",1,0,"Bouvet Island",1,1
"19",118,"status",0.395,0.234,"Anguilla",0.161,0.161
"20",120,"status",0.921,0.742,"Antigua and Barbuda",0.179,0.179
"21",129,"status",0.825,0.46,"Panama",0.365,0.365
"22",132,"status",0.941,0.667,"Colombia",0.274,0.274
"23",139,"status",0.997,0.818,"Venezuela",0.179,0.179
"24",163,"status",0.8,0.731,"United States",0.0690000000000001,0.0690000000000001
"25",186,"status",0.068,0.007,"Montenegro",0.061,0.061
"26",188,"status",0.506,1,"Slovenia",-0.494,0.494
"27",190,"status",0.665,0.717,"Qatar",-0.0519999999999999,0.0519999999999999
"28",203,"status",0.017,0.235,"India",-0.218,0.218
"29",206,"status",0.519,0.156,"Malaysia",0.363,0.363
"30",215,"status",0.197,0,"Jordan",0.197,0.197
"31",218,"status",0.243,0.334,"Canada",-0.091,0.091
"32",227,"status",0.847,0.771,"Jersey",0.076,0.076
"33",245,"status",1,0.563,"Bonaire",0.437,0.437
"34",248,"status",1,0.849,"Saba",0.151,0.151
"35",249,"status",0.868,0.543,"Sint Eustatius",0.325,0.325
