"year","nutrient","nutrient_sum"
"2020","P",19790009.2068647
"2020","N",106474242.388085
"2019","P",17958301.1363306
"2019","N",101907559.696265
"2018","P",18121703.8969778
"2018","N",101764167.490889
"2017","P",18445533.0321674
"2017","N",103091247.352905
"2016","P",17865421.4239503
"2016","N",101055231.264938
"2015","P",17971844.7529786
"2015","N",99977265.1893513
"2014","P",18175227.074512
"2014","N",101252805.713098
"2013","P",18125434.2019367
"2013","N",100275401.041947
"2012","P",17876575.5669839
"2012","N",98678032.4168355
"2011","P",18131095.8112771
"2011","N",98629859.1445004
"2010","P",17786180.8333441
"2010","N",95267291.332914
"2009","P",15727307.5391385
"2009","N",91507172.3392903
"2008","P",14252242.7087443
"2008","N",88928499.092089
"2007","P",15835256.5387216
"2007","N",90242318.3152042
"2006","P",16014259.9974464
"2006","N",87140220.1155418
"2005","P",15371274.2494098
"2005","N",84275705.4571935
