"rgn_id","rgn_name","score"
14,"Taiwan",4.33228894
15,"Philippines",3.75190218
16,"Australia",5.141493299
20,"South Korea",4.780579646
24,"Cambodia",3.394182658
25,"Thailand",4.497072391
31,"Seychelles",3.929484804
37,"Mauritius",4.009486949
40,"Sri Lanka",3.726056304
41,"Mozambique",2.912884058
42,"Madagascar",NA
43,"Kenya",3.628503273
47,"Yemen",2.418024933
48,"Oman",3.977589649
50,"Saudi Arabia",3.875164277
51,"Kuwait",3.419645464
52,"Bahrain",3.906913836
53,"Pakistan",3.096862755
54,"United Arab Emirates",4.434902929
56,"Cape Verde",3.55075797
59,"Belgium",4.547143142
61,"Tunisia",3.5868216
62,"Morocco",3.895436075
64,"Mauritania",2.685930217
65,"Gambia",3.227794923
66,"Senegal",3.261882686
68,"Malta",4.35824348
69,"Latvia",4.040808591
70,"Estonia",4.196084284
71,"Bulgaria",4.21129351
72,"Romania",3.989246718
73,"Russia",4.317196943
74,"Georgia",3.87630245
75,"Ukraine",3.723519266
76,"Turkey",4.222694729
78,"Lebanon",3.382083004
79,"Israel",3.984054547
80,"Greece",4.545383911
81,"Cyprus",4.216212817
82,"Albania",3.584591786
84,"Algeria",3.147668774
96,"Sierra Leone",2.784014009
97,"Liberia",2.609822308
99,"Benin",3.021217714
101,"Namibia",3.667236417
102,"South Africa",3.972077204
106,"Ghana",3.148888862
114,"Haiti",2.761206002
115,"Dominican Republic",3.775340422
116,"Puerto Rico and Virgin Islands of the United States",NA
124,"Barbados",NA
126,"Trinidad and Tobago",3.58319351
129,"Panama",4.193665956
130,"Costa Rica",4.268189495
131,"Nicaragua",3.494386016
132,"Colombia",4.008779807
133,"Honduras",3.456937783
134,"El Salvador",3.232051524
135,"Mexico",4.689370731
136,"Guatemala",3.393011906
137,"Ecuador",3.864455919
138,"Peru",4.167020524
139,"Venezuela",3.131438397
143,"Iceland",4.499633948
162,"New Zealand",4.745908425
163,"United States",5.25390325
166,"Jamaica",3.749274446
167,"Guyana",NA
168,"Suriname",NA
171,"Brazil",4.456420855
172,"Argentina",4.152215213
173,"Uruguay",3.765774605
174,"Finland",4.518301059
175,"Denmark",4.58106809
176,"Germany",5.388195332
177,"Netherlands",4.791464205
178,"Poland",4.232195199
179,"France",5.403228438
180,"United Kingdom",5.192136611
181,"Ireland",4.538317334
182,"Spain",5.440051845
183,"Portugal",4.893555598
184,"Italy",5.085620603
186,"Montenegro",3.891431047
187,"Croatia",4.525832718
188,"Slovenia",4.346416355
189,"Lithuania",3.975097789
190,"Qatar",4.134611622
191,"Iran",3.54274219
194,"Guinea",2.921685074
195,"Ivory Coast",3.114040444
196,"Nigeria",2.818037052
197,"Cameroon",2.897849041
198,"Gabon",NA
199,"Democratic Republic of the Congo",2.675020551
200,"Angola",2.736679651
202,"Tanzania",3.431573529
203,"India",4.421054932
204,"Bangladesh",3.10036516
205,"Myanmar",NA
206,"Malaysia",4.51346503
207,"Vietnam",3.91448675
208,"Singapore",4.757802068
209,"China",4.87552676982933
210,"Japan",5.371621522
214,"Egypt",3.897272612
215,"Jordan",3.588802002
216,"Indonesia",4.269961401
218,"Canada",5.051292925
222,"Sweden",4.56259997
223,"Norway",4.592378283
224,"Chile",4.100126474
232,"Bosnia and Herzegovina",3.281331842
247,"Brunei",3.783416987
255,"Azerbaijan",3.799250125
